ticker,name,wics_sector,display_bucket,market_cap_rank,note
005930,삼성전자,반도체,반도체/IT,1,시총 1위
000660,SK하이닉스,반도체,반도체/IT,2,HBM 핵심
009150,삼성전기,IT하드웨어,반도체/IT,25,MLCC/부품
005380,현대차,자동차,자동차/전기차 밸류체인,4,완성차 1위
000270,기아,자동차,자동차/전기차 밸류체인,5,완성차 2위
373220,LG에너지솔루션,2차전지,자동차/전기차 밸류체인,3,2차전지 대장
006400,삼성SDI,2차전지,자동차/전기차 밸류체인,8,2차전지
051910,LG화학,화학,자동차/전기차 밸류체인,7,화학+소재
105560,KB금융,은행,금융,6,은행 대장
055550,신한지주,은행,금융,10,은행
003490,대한항공,운송,조선/방산/산업재,28,항공 대장
086790,하나금융지주,은행,금융,15,은행
005830,DB손해보험,보험,금융,26,손보 대장
207940,삼성바이오로직스,바이오,헬스케어,9,바이오 시총 1위
068270,셀트리온,바이오,헬스케어,11,바이오시밀러
326030,SK바이오팜,바이오,헬스케어,22,신약
000100,유한양행,제약,헬스케어,30,제약 대형주
035420,NAVER,인터넷,인터넷/콘텐츠,12,검색/커머스
035720,카카오,인터넷,인터넷/콘텐츠,18,메신저/핀테크
259960,크래프톤,게임,인터넷/콘텐츠,14,게임
329180,HD한국조선해양,조선,조선/방산/산업재,13,조선 대장
012450,한화에어로스페이스,방산,조선/방산/산업재,16,방산 대장
042660,한화오션,조선,조선/방산/산업재,17,조선
017670,SK텔레콤,통신,통신/방어주,19,통신 대장
030200,KT,통신,통신/방어주,23,통신
015760,한국전력,유틸리티,통신/방어주,21,유틸리티
